[
Record [type=1, time=Wed Jul 05 14:44:29 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=enter, data=badLogin], 
Record [type=1, time=Wed Jul 05 14:44:29 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=login, data=failure], 
Record [type=1, time=Wed Jul 05 14:44:36 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=enter, data=start], 
Record [type=1, time=Wed Jul 05 14:44:51 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=enter, data=order inputPwd], 
Record [type=1, time=Wed Jul 05 14:44:51 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=enter, data=badLogin], 
Record [type=1, time=Wed Jul 05 14:44:52 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=login, data=failure], 
Record [type=1, time=Wed Jul 05 14:48:28 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=enter, data=start], 
Record [type=1, time=Wed Jul 05 14:49:11 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=enter, data=order inputPwd], 
Record [type=1, time=Wed Jul 05 14:49:11 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=enter, data=badLogin], 
Record [type=1, time=Wed Jul 05 14:49:11 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=login, data=failure], 
Record [type=1, time=Wed Jul 05 14:49:22 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=enter, data=start], 
Record [type=1, time=Wed Jul 05 14:50:01 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=enter, data=order inputPwd], 
Record [type=1, time=Wed Jul 05 14:50:02 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=enter, data=badLogin], 
Record [type=1, time=Wed Jul 05 14:50:02 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=login, data=failure], 
Record [type=1, time=Wed Jul 05 14:50:08 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=enter, data=start], 
Record [type=1, time=Wed Jul 05 14:50:29 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=enter, data=order inputPwd], 
Record [type=1, time=Wed Jul 05 14:50:30 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=enter, data=badLogin], 
Record [type=1, time=Wed Jul 05 14:50:30 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=login, data=failure], 
Record [type=1, time=Wed Jul 05 14:50:43 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=enter, data=start], 
Record [type=1, time=Wed Jul 05 14:51:14 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=enter, data=order inputPwd], 
Record [type=1, time=Wed Jul 05 14:51:15 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=enter, data=badLogin], 
Record [type=1, time=Wed Jul 05 14:51:15 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=login, data=failure], 
Record [type=1, time=Wed Jul 05 14:51:46 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=create, data=start], 
Record [type=1, time=Wed Jul 05 14:51:46 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=create, data=picChange], 
Record [type=1, time=Wed Jul 05 14:51:47 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=create, data=picAccept], 
Record [type=1, time=Wed Jul 05 14:51:47 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=create, data=Password], 
Record [type=1, time=Wed Jul 05 14:52:07 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=create, data=order inputPwd], 
Record [type=1, time=Wed Jul 05 14:52:08 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=create, data=goodPractice], 
Record [type=1, time=Wed Jul 05 14:52:37 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=create, data=order inputPwd], 
Record [type=1, time=Wed Jul 05 14:52:37 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=create, data=goodPractice], 
Record [type=1, time=Wed Jul 05 14:52:41 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=create, data=hidePassword], 
Record [type=1, time=Wed Jul 05 14:52:52 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=create, data=order inputPwd], 
Record [type=1, time=Wed Jul 05 14:52:52 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=create, data=goodPractice], 
Record [type=1, time=Wed Jul 05 14:53:01 EDT 2017, userid=ipt101, site=wvacation, scheme=testpasstiles, mode=ImagePasstiles_Vac, event=enter, data=start], 
